,survived,pclass,sex,age,sibsp,parch,fare,class,embark_town,alive
123,1,2,female,32.5,0,0,13.0,Second,Southampton,Yes
124,0,1,male,54.0,0,1,77.2875,First,Southampton,No
125,1,3,male,12.0,1,0,11.2417,Third,Cherbourg,Yes
126,0,3,male,,0,0,7.75,Third,Queensland,No
127,1,3,male,24.0,0,0,7.1417,Third,Southampton,Yes
128,1,3,female,,1,1,22.3583,Third,Cherbourg,Yes
129,0,3,male,45.0,0,0,6.975,Third,Southampton,No
130,0,3,male,33.0,0,0,7.8958,Third,Cherbourg,No
131,0,3,male,20.0,0,0,7.05,Third,Southampton,No
132,0,3,female,47.0,1,0,14.5,Third,Southampton,No
133,1,2,female,29.0,1,0,26.0,Second,Southampton,Yes
134,0,2,male,25.0,0,0,13.0,Second,Southampton,No
135,0,2,male,23.0,0,0,15.0458,Second,Cherbourg,No
136,1,1,female,19.0,0,2,26.2833,First,Southampton,Yes
137,0,1,male,37.0,1,0,53.1,First,Southampton,No
138,0,3,male,16.0,0,0,9.2167,Third,Southampton,No
139,0,1,male,24.0,0,0,79.2,First,Cherbourg,No
140,0,3,female,,0,2,15.2458,Third,Cherbourg,No
141,1,3,female,22.0,0,0,7.75,Third,Southampton,Yes
142,1,3,female,24.0,1,0,15.85,Third,Southampton,Yes
143,0,3,male,19.0,0,0,6.75,Third,Queensland,No
144,0,2,male,18.0,0,0,11.5,Second,Southampton,No
145,0,2,male,19.0,1,1,36.75,Second,Southampton,No
146,1,3,male,27.0,0,0,7.7958,Third,Southampton,Yes
147,0,3,female,9.0,2,2,34.375,Third,Southampton,No
148,0,2,male,36.5,0,2,26.0,Second,Southampton,No
149,0,2,male,42.0,0,0,13.0,Second,Southampton,No
150,0,2,male,51.0,0,0,12.525,Second,Southampton,No
151,1,1,female,22.0,1,0,66.6,First,Southampton,Yes
152,0,3,male,55.5,0,0,8.05,Third,Southampton,No
153,0,3,male,40.5,0,2,14.5,Third,Southampton,No
154,0,3,male,,0,0,7.3125,Third,Southampton,No
155,0,1,male,51.0,0,1,61.3792,First,Cherbourg,No
156,1,3,female,16.0,0,0,7.7333,Third,Queensland,Yes
157,0,3,male,30.0,0,0,8.05,Third,Southampton,No
158,0,3,male,,0,0,8.6625,Third,Southampton,No
159,0,3,male,,8,2,69.55,Third,Southampton,No
160,0,3,male,44.0,0,1,16.1,Third,Southampton,No
161,1,2,female,40.0,0,0,15.75,Second,Southampton,Yes
162,0,3,male,26.0,0,0,7.775,Third,Southampton,No
163,0,3,male,17.0,0,0,8.6625,Third,Southampton,No
164,0,3,male,1.0,4,1,39.6875,Third,Southampton,No
165,1,3,male,9.0,0,2,20.525,Third,Southampton,Yes
166,1,1,female,,0,1,55.0,First,Southampton,Yes
167,0,3,female,45.0,1,4,27.9,Third,Southampton,No
168,0,1,male,,0,0,25.925,First,Southampton,No
169,0,3,male,28.0,0,0,56.4958,Third,Southampton,No
170,0,1,male,61.0,0,0,33.5,First,Southampton,No
171,0,3,male,4.0,4,1,29.125,Third,Queensland,No
172,1,3,female,1.0,1,1,11.1333,Third,Southampton,Yes
173,0,3,male,21.0,0,0,7.925,Third,Southampton,No
174,0,1,male,56.0,0,0,30.6958,First,Cherbourg,No
175,0,3,male,18.0,1,1,7.8542,Third,Southampton,No
176,0,3,male,,3,1,25.4667,Third,Southampton,No
177,0,1,female,50.0,0,0,28.7125,First,Cherbourg,No
178,0,2,male,30.0,0,0,13.0,Second,Southampton,No
179,0,3,male,36.0,0,0,0.0,Third,Southampton,No
180,0,3,female,,8,2,69.55,Third,Southampton,No
181,0,2,male,,0,0,15.05,Second,Cherbourg,No
182,0,3,male,9.0,4,2,31.3875,Third,Southampton,No
183,1,2,male,1.0,2,1,39.0,Second,Southampton,Yes
184,1,3,female,4.0,0,2,22.025,Third,Southampton,Yes
185,0,1,male,,0,0,50.0,First,Southampton,No
186,1,3,female,,1,0,15.5,Third,Queensland,Yes
187,1,1,male,45.0,0,0,26.55,First,Southampton,Yes
188,0,3,male,40.0,1,1,15.5,Third,Queensland,No
189,0,3,male,36.0,0,0,7.8958,Third,Southampton,No
190,1,2,female,32.0,0,0,13.0,Second,Southampton,Yes
191,0,2,male,19.0,0,0,13.0,Second,Southampton,No
192,1,3,female,19.0,1,0,7.8542,Third,Southampton,Yes
193,1,2,male,3.0,1,1,26.0,Second,Southampton,Yes
194,1,1,female,44.0,0,0,27.7208,First,Cherbourg,Yes
195,1,1,female,58.0,0,0,146.5208,First,Cherbourg,Yes
196,0,3,male,,0,0,7.75,Third,Queensland,No
197,0,3,male,42.0,0,1,8.4042,Third,Southampton,No
198,1,3,female,,0,0,7.75,Third,Queensland,Yes
199,0,2,female,24.0,0,0,13.0,Second,Southampton,No
200,0,3,male,28.0,0,0,9.5,Third,Southampton,No
201,0,3,male,,8,2,69.55,Third,Southampton,No
202,0,3,male,34.0,0,0,6.4958,Third,Southampton,No
203,0,3,male,45.5,0,0,7.225,Third,Cherbourg,No
204,1,3,male,18.0,0,0,8.05,Third,Southampton,Yes
205,0,3,female,2.0,0,1,10.4625,Third,Southampton,No
206,0,3,male,32.0,1,0,15.85,Third,Southampton,No
207,1,3,male,26.0,0,0,18.7875,Third,Cherbourg,Yes
208,1,3,female,16.0,0,0,7.75,Third,Queensland,Yes
209,1,1,male,40.0,0,0,31.0,First,Cherbourg,Yes
210,0,3,male,24.0,0,0,7.05,Third,Southampton,No
211,1,2,female,35.0,0,0,21.0,Second,Southampton,Yes
212,0,3,male,22.0,0,0,7.25,Third,Southampton,No
213,0,2,male,30.0,0,0,13.0,Second,Southampton,No
214,0,3,male,,1,0,7.75,Third,Queensland,No
215,1,1,female,31.0,1,0,113.275,First,Cherbourg,Yes
216,1,3,female,27.0,0,0,7.925,Third,Southampton,Yes
217,0,2,male,42.0,1,0,27.0,Second,Southampton,No
218,1,1,female,32.0,0,0,76.2917,First,Cherbourg,Yes
219,0,2,male,30.0,0,0,10.5,Second,Southampton,No
220,1,3,male,16.0,0,0,8.05,Third,Southampton,Yes
221,0,2,male,27.0,0,0,13.0,Second,Southampton,No
222,0,3,male,51.0,0,0,8.05,Third,Southampton,No
223,0,3,male,,0,0,7.8958,Third,Southampton,No
224,1,1,male,38.0,1,0,90.0,First,Southampton,Yes
225,0,3,male,22.0,0,0,9.35,Third,Southampton,No
226,1,2,male,19.0,0,0,10.5,Second,Southampton,Yes
227,0,3,male,20.5,0,0,7.25,Third,Southampton,No
228,0,2,male,18.0,0,0,13.0,Second,Southampton,No
229,0,3,female,,3,1,25.4667,Third,Southampton,No
230,1,1,female,35.0,1,0,83.475,First,Southampton,Yes
231,0,3,male,29.0,0,0,7.775,Third,Southampton,No
232,0,2,male,59.0,0,0,13.5,Second,Southampton,No
233,1,3,female,5.0,4,2,31.3875,Third,Southampton,Yes
234,0,2,male,24.0,0,0,10.5,Second,Southampton,No
235,0,3,female,,0,0,7.55,Third,Southampton,No
236,0,2,male,44.0,1,0,26.0,Second,Southampton,No
237,1,2,female,8.0,0,2,26.25,Second,Southampton,Yes
238,0,2,male,19.0,0,0,10.5,Second,Southampton,No
239,0,2,male,33.0,0,0,12.275,Second,Southampton,No
240,0,3,female,,1,0,14.4542,Third,Cherbourg,No
241,1,3,female,,1,0,15.5,Third,Queensland,Yes
242,0,2,male,29.0,0,0,10.5,Second,Southampton,No
243,0,3,male,22.0,0,0,7.125,Third,Southampton,No
244,0,3,male,30.0,0,0,7.225,Third,Cherbourg,No
245,0,1,male,44.0,2,0,90.0,First,Queensland,No
246,0,3,female,25.0,0,0,7.775,Third,Southampton,No
247,1,2,female,24.0,0,2,14.5,Second,Southampton,Yes
248,1,1,male,37.0,1,1,52.5542,First,Southampton,Yes
249,0,2,male,54.0,1,0,26.0,Second,Southampton,No
250,0,3,male,,0,0,7.25,Third,Southampton,No
251,0,3,female,29.0,1,1,10.4625,Third,Southampton,No
252,0,1,male,62.0,0,0,26.55,First,Southampton,No
253,0,3,male,30.0,1,0,16.1,Third,Southampton,No
254,0,3,female,41.0,0,2,20.2125,Third,Southampton,No
255,1,3,female,29.0,0,2,15.2458,Third,Cherbourg,Yes
256,1,1,female,,0,0,79.2,First,Cherbourg,Yes
257,1,1,female,30.0,0,0,86.5,First,Southampton,Yes
258,1,1,female,35.0,0,0,512.3292,First,Cherbourg,Yes
259,1,2,female,50.0,0,1,26.0,Second,Southampton,Yes
260,0,3,male,,0,0,7.75,Third,Queensland,No
261,1,3,male,3.0,4,2,31.3875,Third,Southampton,Yes
262,0,1,male,52.0,1,1,79.65,First,Southampton,No
263,0,1,male,40.0,0,0,0.0,First,Southampton,No
264,0,3,female,,0,0,7.75,Third,Queensland,No
265,0,2,male,36.0,0,0,10.5,Second,Southampton,No
266,0,3,male,16.0,4,1,39.6875,Third,Southampton,No
267,1,3,male,25.0,1,0,7.775,Third,Southampton,Yes
268,1,1,female,58.0,0,1,153.4625,First,Southampton,Yes
269,1,1,female,35.0,0,0,135.6333,First,Southampton,Yes
270,0,1,male,,0,0,31.0,First,Southampton,No
271,1,3,male,25.0,0,0,0.0,Third,Southampton,Yes
272,1,2,female,41.0,0,1,19.5,Second,Southampton,Yes
273,0,1,male,37.0,0,1,29.7,First,Cherbourg,No
274,1,3,female,,0,0,7.75,Third,Queensland,Yes
275,1,1,female,63.0,1,0,77.9583,First,Southampton,Yes
276,0,3,female,45.0,0,0,7.75,Third,Southampton,No
277,0,2,male,,0,0,0.0,Second,Southampton,No
278,0,3,male,7.0,4,1,29.125,Third,Queensland,No
279,1,3,female,35.0,1,1,20.25,Third,Southampton,Yes
280,0,3,male,65.0,0,0,7.75,Third,Queensland,No
281,0,3,male,28.0,0,0,7.8542,Third,Southampton,No
282,0,3,male,16.0,0,0,9.5,Third,Southampton,No
283,1,3,male,19.0,0,0,8.05,Third,Southampton,Yes
284,0,1,male,,0,0,26.0,First,Southampton,No
285,0,3,male,33.0,0,0,8.6625,Third,Cherbourg,No
286,1,3,male,30.0,0,0,9.5,Third,Southampton,Yes
287,0,3,male,22.0,0,0,7.8958,Third,Southampton,No
288,1,2,male,42.0,0,0,13.0,Second,Southampton,Yes
289,1,3,female,22.0,0,0,7.75,Third,Queensland,Yes
290,1,1,female,26.0,0,0,78.85,First,Southampton,Yes
291,1,1,female,19.0,1,0,91.0792,First,Cherbourg,Yes
292,0,2,male,36.0,0,0,12.875,Second,Cherbourg,No
293,0,3,female,24.0,0,0,8.85,Third,Southampton,No
294,0,3,male,24.0,0,0,7.8958,Third,Southampton,No
295,0,1,male,,0,0,27.7208,First,Cherbourg,No
296,0,3,male,23.5,0,0,7.2292,Third,Cherbourg,No
297,0,1,female,2.0,1,2,151.55,First,Southampton,No
298,1,1,male,,0,0,30.5,First,Southampton,Yes
299,1,1,female,50.0,0,1,247.5208,First,Cherbourg,Yes
300,1,3,female,,0,0,7.75,Third,Queensland,Yes
301,1,3,male,,2,0,23.25,Third,Queensland,Yes
302,0,3,male,19.0,0,0,0.0,Third,Southampton,No
303,1,2,female,,0,0,12.35,Second,Queensland,Yes
304,0,3,male,,0,0,8.05,Third,Southampton,No
305,1,1,male,0.92,1,2,151.55,First,Southampton,Yes
306,1,1,female,,0,0,110.8833,First,Cherbourg,Yes
307,1,1,female,17.0,1,0,108.9,First,Cherbourg,Yes
308,0,2,male,30.0,1,0,24.0,Second,Cherbourg,No
309,1,1,female,30.0,0,0,56.9292,First,Cherbourg,Yes
310,1,1,female,24.0,0,0,83.1583,First,Cherbourg,Yes
311,1,1,female,18.0,2,2,262.375,First,Cherbourg,Yes
312,0,2,female,26.0,1,1,26.0,Second,Southampton,No
313,0,3,male,28.0,0,0,7.8958,Third,Southampton,No
314,0,2,male,43.0,1,1,26.25,Second,Southampton,No
315,1,3,female,26.0,0,0,7.8542,Third,Southampton,Yes
316,1,2,female,24.0,1,0,26.0,Second,Southampton,Yes
317,0,2,male,54.0,0,0,14.0,Second,Southampton,No
318,1,1,female,31.0,0,2,164.8667,First,Southampton,Yes
319,1,1,female,40.0,1,1,134.5,First,Cherbourg,Yes
320,0,3,male,22.0,0,0,7.25,Third,Southampton,No
321,0,3,male,27.0,0,0,7.8958,Third,Southampton,No
322,1,2,female,30.0,0,0,12.35,Second,Queensland,Yes
323,1,2,female,22.0,1,1,29.0,Second,Southampton,Yes
324,0,3,male,,8,2,69.55,Third,Southampton,No
325,1,1,female,36.0,0,0,135.6333,First,Cherbourg,Yes
326,0,3,male,61.0,0,0,6.2375,Third,Southampton,No
327,1,2,female,36.0,0,0,13.0,Second,Southampton,Yes
328,1,3,female,31.0,1,1,20.525,Third,Southampton,Yes
329,1,1,female,16.0,0,1,57.9792,First,Cherbourg,Yes
330,1,3,female,,2,0,23.25,Third,Queensland,Yes
331,0,1,male,45.5,0,0,28.5,First,Southampton,No
332,0,1,male,38.0,0,1,153.4625,First,Southampton,No
333,0,3,male,16.0,2,0,18.0,Third,Southampton,No
334,1,1,female,,1,0,133.65,First,Southampton,Yes
335,0,3,male,,0,0,7.8958,Third,Southampton,No
336,0,1,male,29.0,1,0,66.6,First,Southampton,No
337,1,1,female,41.0,0,0,134.5,First,Cherbourg,Yes
338,1,3,male,45.0,0,0,8.05,Third,Southampton,Yes
339,0,1,male,45.0,0,0,35.5,First,Southampton,No
340,1,2,male,2.0,1,1,26.0,Second,Southampton,Yes
341,1,1,female,24.0,3,2,263.0,First,Southampton,Yes
342,0,2,male,28.0,0,0,13.0,Second,Southampton,No
343,0,2,male,25.0,0,0,13.0,Second,Southampton,No
344,0,2,male,36.0,0,0,13.0,Second,Southampton,No
345,1,2,female,24.0,0,0,13.0,Second,Southampton,Yes
346,1,2,female,40.0,0,0,13.0,Second,Southampton,Yes
347,1,3,female,,1,0,16.1,Third,Southampton,Yes
348,1,3,male,3.0,1,1,15.9,Third,Southampton,Yes
349,0,3,male,42.0,0,0,8.6625,Third,Southampton,No
350,0,3,male,23.0,0,0,9.225,Third,Southampton,No
351,0,1,male,,0,0,35.0,First,Southampton,No
352,0,3,male,15.0,1,1,7.2292,Third,Cherbourg,No
353,0,3,male,25.0,1,0,17.8,Third,Southampton,No
354,0,3,male,,0,0,7.225,Third,Cherbourg,No
355,0,3,male,28.0,0,0,9.5,Third,Southampton,No
356,1,1,female,22.0,0,1,55.0,First,Southampton,Yes
357,0,2,female,38.0,0,0,13.0,Second,Southampton,No
358,1,3,female,,0,0,7.8792,Third,Queensland,Yes
359,1,3,female,,0,0,7.8792,Third,Queensland,Yes
360,0,3,male,40.0,1,4,27.9,Third,Southampton,No
361,0,2,male,29.0,1,0,27.7208,Second,Cherbourg,No
362,0,3,female,45.0,0,1,14.4542,Third,Cherbourg,No
363,0,3,male,35.0,0,0,7.05,Third,Southampton,No
364,0,3,male,,1,0,15.5,Third,Queensland,No
365,0,3,male,30.0,0,0,7.25,Third,Southampton,No
366,1,1,female,60.0,1,0,75.25,First,Cherbourg,Yes
367,1,3,female,,0,0,7.2292,Third,Cherbourg,Yes
368,1,3,female,,0,0,7.75,Third,Queensland,Yes
369,1,1,female,24.0,0,0,69.3,First,Cherbourg,Yes
370,1,1,male,25.0,1,0,55.4417,First,Cherbourg,Yes
371,0,3,male,18.0,1,0,6.4958,Third,Southampton,No
372,0,3,male,19.0,0,0,8.05,Third,Southampton,No
373,0,1,male,22.0,0,0,135.6333,First,Cherbourg,No
374,0,3,female,3.0,3,1,21.075,Third,Southampton,No
375,1,1,female,,1,0,82.1708,First,Cherbourg,Yes
376,1,3,female,22.0,0,0,7.25,Third,Southampton,Yes
377,0,1,male,27.0,0,2,211.5,First,Cherbourg,No
378,0,3,male,20.0,0,0,4.0125,Third,Cherbourg,No
379,0,3,male,19.0,0,0,7.775,Third,Southampton,No
380,1,1,female,42.0,0,0,227.525,First,Cherbourg,Yes
381,1,3,female,1.0,0,2,15.7417,Third,Cherbourg,Yes
382,0,3,male,32.0,0,0,7.925,Third,Southampton,No
383,1,1,female,35.0,1,0,52.0,First,Southampton,Yes
384,0,3,male,,0,0,7.8958,Third,Southampton,No
385,0,2,male,18.0,0,0,73.5,Second,Southampton,No
386,0,3,male,1.0,5,2,46.9,Third,Southampton,No
387,1,2,female,36.0,0,0,13.0,Second,Southampton,Yes
388,0,3,male,,0,0,7.7292,Third,Queensland,No
389,1,2,female,17.0,0,0,12.0,Second,Cherbourg,Yes
390,1,1,male,36.0,1,2,120.0,First,Southampton,Yes
391,1,3,male,21.0,0,0,7.7958,Third,Southampton,Yes
392,0,3,male,28.0,2,0,7.925,Third,Southampton,No
393,1,1,female,23.0,1,0,113.275,First,Cherbourg,Yes
394,1,3,female,24.0,0,2,16.7,Third,Southampton,Yes
395,0,3,male,22.0,0,0,7.7958,Third,Southampton,No
396,0,3,female,31.0,0,0,7.8542,Third,Southampton,No
397,0,2,male,46.0,0,0,26.0,Second,Southampton,No
398,0,2,male,23.0,0,0,10.5,Second,Southampton,No
399,1,2,female,28.0,0,0,12.65,Second,Southampton,Yes
400,1,3,male,39.0,0,0,7.925,Third,Southampton,Yes
401,0,3,male,26.0,0,0,8.05,Third,Southampton,No
402,0,3,female,21.0,1,0,9.825,Third,Southampton,No
403,0,3,male,28.0,1,0,15.85,Third,Southampton,No
404,0,3,female,20.0,0,0,8.6625,Third,Southampton,No
405,0,2,male,34.0,1,0,21.0,Second,Southampton,No
406,0,3,male,51.0,0,0,7.75,Third,Southampton,No
407,1,2,male,3.0,1,1,18.75,Second,Southampton,Yes
408,0,3,male,21.0,0,0,7.775,Third,Southampton,No
409,0,3,female,,3,1,25.4667,Third,Southampton,No
410,0,3,male,,0,0,7.8958,Third,Southampton,No
411,0,3,male,,0,0,6.8583,Third,Queensland,No
412,1,1,female,33.0,1,0,90.0,First,Queensland,Yes
413,0,2,male,,0,0,0.0,Second,Southampton,No
414,1,3,male,44.0,0,0,7.925,Third,Southampton,Yes
415,0,3,female,,0,0,8.05,Third,Southampton,No
416,1,2,female,34.0,1,1,32.5,Second,Southampton,Yes
417,1,2,female,18.0,0,2,13.0,Second,Southampton,Yes
418,0,2,male,30.0,0,0,13.0,Second,Southampton,No
419,0,3,female,10.0,0,2,24.15,Third,Southampton,No
420,0,3,male,,0,0,7.8958,Third,Cherbourg,No
421,0,3,male,21.0,0,0,7.7333,Third,Queensland,No
422,0,3,male,29.0,0,0,7.875,Third,Southampton,No
423,0,3,female,28.0,1,1,14.4,Third,Southampton,No
424,0,3,male,18.0,1,1,20.2125,Third,Southampton,No
425,0,3,male,,0,0,7.25,Third,Southampton,No
426,1,2,female,28.0,1,0,26.0,Second,Southampton,Yes
427,1,2,female,19.0,0,0,26.0,Second,Southampton,Yes
428,0,3,male,,0,0,7.75,Third,Queensland,No
429,1,3,male,32.0,0,0,8.05,Third,Southampton,Yes
430,1,1,male,28.0,0,0,26.55,First,Southampton,Yes
431,1,3,female,,1,0,16.1,Third,Southampton,Yes
432,1,2,female,42.0,1,0,26.0,Second,Southampton,Yes
433,0,3,male,17.0,0,0,7.125,Third,Southampton,No
434,0,1,male,50.0,1,0,55.9,First,Southampton,No
435,1,1,female,14.0,1,2,120.0,First,Southampton,Yes
436,0,3,female,21.0,2,2,34.375,Third,Southampton,No
437,1,2,female,24.0,2,3,18.75,Second,Southampton,Yes
438,0,1,male,64.0,1,4,263.0,First,Southampton,No
439,0,2,male,31.0,0,0,10.5,Second,Southampton,No
440,1,2,female,45.0,1,1,26.25,Second,Southampton,Yes
441,0,3,male,20.0,0,0,9.5,Third,Southampton,No
442,0,3,male,25.0,1,0,7.775,Third,Southampton,No
443,1,2,female,28.0,0,0,13.0,Second,Southampton,Yes
444,1,3,male,,0,0,8.1125,Third,Southampton,Yes
445,1,1,male,4.0,0,2,81.8583,First,Southampton,Yes
446,1,2,female,13.0,0,1,19.5,Second,Southampton,Yes
447,1,1,male,34.0,0,0,26.55,First,Southampton,Yes
448,1,3,female,5.0,2,1,19.2583,Third,Cherbourg,Yes
449,1,1,male,52.0,0,0,30.5,First,Southampton,Yes
450,0,2,male,36.0,1,2,27.75,Second,Southampton,No
451,0,3,male,,1,0,19.9667,Third,Southampton,No
452,0,1,male,30.0,0,0,27.75,First,Cherbourg,No
453,1,1,male,49.0,1,0,89.1042,First,Cherbourg,Yes
